Year,Atlantic,Indian,Pacific
1904,11,0,0
1905,62,0,0
1906,110,0,0
1907,143,0,0
1908,238,0,0
1909,181,0,0
1910,481,0,0
1911,1504,0,0
1912,2404,0,0
1912,2404,0,0
1913,2635,0,0
1914,4206,0,0
1915,4871,0,0
1916,3820,0,0
1917,2541.3912240184754,10.60877598152425,0
1918,1798.81299332119,2.187006678809958,0
1919,1823.0206746463546,50.979325353645265,0
1920,2596.8174807197943,20.182519280205653,0
1921,4214.884737678855,90.11526232114467,0
1922,5844.008783886113,133.99121611388762,0
1923,3549.241653418124,177.758346581876,0
1924,5796.282223579719,216.71777642028098,0
1925,4724.484275516111,198.51572448388964,0
1926,6269.434848028889,204.56515197111045,0
1927,7940.613651647613,229.38634835238736,0
1928,11633.211632628689,118.59763525618058,979.190732115132
1929,12339.26746144875,2116.402423221459,3541.3301153297916
1930,11294.44781037837,16388.800730535593,1725.7514590860364
1931,2226.6493765586033,4262.350623441396,0
1932,4441.26016,13876.73984,0
1933,2879.332560834299,14343.675086906142,32.992352259559674
1934,3145.8013541288838,13353.198645871114,0
1935,7093.190793185152,10574.848527586595,40.96067922825228
1936,6235.092355782893,8058.907644217106,0
1937,4788.387321118095,10104.612678881904,0
1938,5160.173258813414,8284.70958727429,626.1171539122959
1939,7362.361705140915,4123.638294859085,0
1940,4940,0,0
1941,45,0,0
1942,125,0,0
1943,339,0,0
1944,1043,0,0
1945,1294.9458625525947,2306.0541374474055,0
1946,2641.895597210113,5912.383609415868,659.7207933740192
1947,2065.9349215572342,3392.5990703079606,1465.4660081348054
1948,3120.1386462882097,3562.305676855895,941.5556768558953
1949,1972.6190394804307,1524.632712356862,2684.748248162707
1950,1831.9349401153336,2272.383261866036,2871.6817980186306
1951,821.5173930427828,2528.0559776089567,1692.4266293482606
1952,1367.8307939053727,1702.8724939855654,762.2967121090618
1953,1207.359466875735,1278.1940415523325,211.44649157193257
1954,819.7777777777777,716.1513002364065,634.0709219858155
1955,450.0208768267224,544.8782185107864,590.1009046624913
1956,465.11318150448585,188.53140096618358,847.3554175293306
1957,564.3586550435866,472.3661270236613,623.2752179327522
1958,243.2054794520548,492.55251141552515,340.2420091324201
1959,150.460358056266,365.9846547314578,13.554987212276215
1960,317.76566757493185,108.94822888283379,49.286103542234336
1961,169.3152709359606,171.29556650246303,262.38916256157637
1962,50.32,190.92000000000002,91.76
1963,12.671999999999999,107.008,56.32
1964,3.2727272727272725,54.54545454545455,62.18181818181818
1965,36.56603773584906,12.50943396226415,103.92452830188678
1966,6.03921568627451,73.47712418300654,74.48366013071896
1967,17.303571428571427,30.535714285714285,9.160714285714286
1968,5,11.25,78.75
1969,2.0476190476190474,6.142857142857142,34.80952380952381
1970,1.8888888888888888,6.611111111111112,25.5
1971,5.368421052631579,3.578947368421052,8.052631578947368
1972,2,0,1
