MarkID,Year,Month,Day,Latitude,N/S,Longitude,E/W,Verdict,MARK_basin,IWCarea_mark,IWCarea_MARK2,Subsp,Seasn_mark
X01001,1926,8,26,-32.05,S,17.41667,E,8,A,3,F,Antarctic,1926
X01002,1926,8,26,-32.05,S,17.41667,E,5,A,3,F,Antarctic,1926
X01003,1926,8,27,-32.5833,S,17.58333,E,5,A,3,F,Antarctic,1926
X01004,1926,8,27,-32.5833,S,17.58333,E,5,A,3,F,Antarctic,1926
X01016,1926,10,27,-54,S,-37,W,5,A,2,E,Antarctic,1926
X01017,1926,9,14,-23.1333,S,13.21667,E,5,A,3,F,Antarctic,1926
X01205,1928,11,5,-54.8,S,-33.4667,W,9,A,2,E,Antarctic,1928
X01354,1928,11,5,-54.8,S,-33.4667,W,9,A,2,E,Antarctic,1928
X01355,1928,11,5,-54.8,S,-33.4667,W,3,A,2,E,Antarctic,1928
X01368,1928,11,5,-54.8,S,-33.4667,W,5,A,2,E,Antarctic,1928
X00176,1929,9,5,-33.8,S,17.41667,E,5,A,3,F,Antarctic,1929
X00554,1929,9,5,-33.8,S,17.41667,E,9,A,3,F,Antarctic,1929
X01133,1929,1,31,-54,S,-35,W,3,A,2,E,Antarctic,1928
X01563,1929,1,12,-53.55,S,-35.5833,W,9,A,2,E,Antarctic,1928
X01578,1929,1,12,-53.55,S,-35.5833,W,9,A,2,E,Antarctic,1928
X01594,1929,1,12,-53.55,S,-35.5833,W,5,A,2,E,Antarctic,1928
100,1932,12,24,-53.9333,S,-37.2,W,9,A,2,E,Antarctic,1932
110,1932,12,24,-53.9333,S,-37.2,W,9,A,2,E,Antarctic,1932
111,1932,12,24,-53.9333,S,-37.2,W,9,A,2,E,Antarctic,1932
113,1932,12,24,-53.9333,S,-37.2,W,9,A,2,E,Antarctic,1932
115,1932,12,24,-53.9333,S,-37.2,W,9,A,2,E,Antarctic,1932
116,1932,12,24,-53.9333,S,-37.2,W,3,A,2,E,Antarctic,1932
118,1932,12,24,-53.9333,S,-37.2,W,9,A,2,E,Antarctic,1932
331,1933,1,4,-54.05,S,-39.1167,W,9,A,2,E,Antarctic,1932
337,1933,1,4,-54.05,S,-39.1167,W,9,A,2,E,Antarctic,1932
485,1933,1,12,-54,S,-37,W,5,A,2,E,Antarctic,1932
486,1933,1,12,-54,S,-37,W,9,A,2,E,Antarctic,1932
592,1934,12,2,-53.7667,S,-35.2167,W,9,A,2,E,Antarctic,1934
595,1934,12,2,-53.7667,S,-35.2167,W,9,A,2,E,Antarctic,1934
601,1934,12,2,-53.7667,S,-35.2167,W,9,A,2,E,Antarctic,1934
605,1934,12,3,-54.4167,S,-35.2,W,9,A,2,E,Antarctic,1934
610,1934,12,3,-54.2833,S,-35.0167,W,9,A,2,E,Antarctic,1934
618,1934,12,3,-54.2833,S,-35.0167,W,3,A,2,E,Antarctic,1934
621,1934,12,26,-54.9,S,-34.3833,W,9,A,2,E,Antarctic,1934
622,1934,12,26,-54.9,S,-34.3833,W,3,A,2,E,Antarctic,1934
624,1934,12,26,-54.7667,S,-34,W,9,A,2,E,Antarctic,1934
625,1934,12,26,-54.9,S,-34.3833,W,9,A,2,E,Antarctic,1934
626,1934,12,26,-54.7667,S,-34,W,9,A,2,E,Antarctic,1934
627,1934,12,26,-54.7667,S,-34,W,3,A,2,E,Antarctic,1934
628,1934,12,26,-54.7667,S,-34,W,9,A,2,E,Antarctic,1934
629,1934,12,26,-54.9,S,-34.3833,W,3,A,2,E,Antarctic,1934
