MarkNo.,Yr_mark,Mon_mark,Day_mark,lat_mark,N/S_mark,long_mark,E/W_mark,Verdict,MARK_basin,IWCarea_mark,IWCarea_MARK2,MarkNo_rec,Yr_rec,Mon_rec,Day_rec,Lat_rec,N/S_rec,Long_rec,E/W_rec,Rec_by/at,recMARK_basin,IWCarea_rec,IWCarea_recMARK,Seasn_rec,Sex_rec,length(m)_rec,Dist(km)_rec,Duration(days)_rec,Notes_rec,Seasn_mark
2525,34,12,5,-56.6667,S,39,E,9,B,3,F,2525,37,2,1,-64.55,S,22.8333,E,C A Larsen,B,3,F,36,Female,22.9,1236,789,NA,34
2548,34,12,8,-58.35,S,49.2667,E,9,B,3,F,2548,37,12,11,-59,S,34.25,E,Pelagos,B,3,F,37,Male,24.4,869,1090,NA,34
2537,34,12,4,-56.6,S,35.75,E,9,B,3,F,2537,38,12,22,-57.6167,S,16.4667,E,Tafelberg,A,3,F,38,Female,25.5,1165,1479,NA,34
1123,34,12,29,-55,S,-34.46666667,W,9,A,2,E,1123,39,1,12,-62.3333,S,-45.8333,W,Kosmos II,A,2,E,38,Female,25.3,1048,1475,second mark ID#1125,34
1245,34,12,27,-54.8833,S,-34.5667,W,9,A,2,E,1245,39,12,30,-59.3833,S,-9.3667,W,Kosmos II,A,2,E,39,NA,NA,1589,1829,NA,34
859,34,11,30,-54.9,S,-35.2333,W,9,A,2,E,859,46,11,28,-54.5,S,-37,W,NA,A,2,E,46,NA,NA,122,4351,NA,34
903,35,1,12,-54.0167,S,-38.85,W,9,A,2,E,903,36,1,19,-55.4,S,-33.7833,W,(S. Georgia),A,2,E,35,Female,23.9,360,7,NA,34
2026,35,12,14,-57.4333,S,23.8333,E,3,B,3,F,2026,36,12,16,-61,S,87,E,Ole Wegger,B,4,G,36,NA,NA,3473,368,NA,35
2816,35,1,17,-63.35,S,53.5333,E,9,B,3,F,2816,36,3,9,-64,S,90,E,Ole Wegger,B,4,G,35,NA,NA,1774,417,NA,34
2892,35,1,22,-63.5333,S,47.2833,E,9,B,3,F,2892,36,2,26,-65.2833,S,84.5,E,(British),B,4,G,35,Male,25.9,1770,400,NA,34
3023,35,1,28,-62.0167,S,43.35,E,9,B,3,F,3023,36,1,9,-63.6167,S,39.9,E,NA,B,3,F,35,NA,NA,250,346,NA,34
3771,35,12,4,-54.1833,S,-39.25,W,9,A,2,E,3771,36,11,14,-54.8667,S,-32.6833,W,(S. Georgia),A,2,E,36,Male,24.2,430,346,NA,35
3528,35,2,28,-63.4333,S,26.1833,E,9,B,3,F,3528,37,1,17,-64.45,S,79.45,E,S.Princess,B,4,G,36,Female,22.6,2526,689,NA,34
3598,35,3,8,-63.3833,S,8.3,E,9,A,3,F,3598,48,1,20,-60,S,32,E,NA,B,3,F,47,NA,NA,1296,4701,NA,34
5728,36,3,2,-63.8167,S,54.4,E,9,B,3,F,5728,37,1,8,-56.8,S,17.0333,E,NA,A,3,F,36,NA,NA,2161,312,NA,35
5261,36,2,1,-61.9333,S,88.7,E,9,B,4,G,5261,38,1,2,-61.8667,S,82.95,E,S.Princess,B,4,G,37,Female,25.9,301,701,NA,35
5800,36,3,8,-64.4,S,45.8167,E,9,B,3,F,5800,38,1,3,-63.2333,S,72.3667,E,Hektoria,B,4,G,37,Female,23.5,1299,666,NA,35
5632,36,2,22,-63.75,S,81.85,E,9,B,4,G,5632,47,12,20,-57.3833,S,31.6667,E,NA,B,3,F,47,Female,NA,2751,4319,Pregnant,35
5456,36,2,13,-63.95,S,99.3167,E,9,B,4,G,5456,48,1,9,-56.6333,S,12.35,E,NA,A,3,F,47,Female,27.7,4474,4348,Pregnant,35
10427,37,12,17,-55.8167,S,-0.2333,W,9,A,2,E,10427,39,2,24,-55.2,S,-35.4,W,NA,A,2,E,38,Female,22.1,2190,434,second mark ID#10431,37
8743,37,2,13,-64.8667,S,30.7,E,9,B,3,F,8743,47,12,28,-55.5,S,27.5,E,NA,B,3,F,47,NA,NA,1055,3957,Uncertain,36
G01201,38,12,7,-59,S,30,E,9,B,3,F,G01201,51,1,11,-64.9,S,62.3833,E,A. Larsen,B,3,F,50,Female,27.4,1790,4409,Pregnant,38
